POPULATION,POP_CODE,GENO,SP,LAT,LON,ELEV,STATE,NEW_CODE,BEAVER,TAM,ELEVWC,Prec,precwetmo,precdrymo,precCoV,precwetqtr,precdryqtr,precwarmqtr,preccoldqtr,MAT,MDR,MAXT,MINT,CART,MWET,MDRY,MWAR,MCOL
JoshuaTreeWoodSpringsOasis,JTWS,JTWS6,POFR,33.741,-115.81,925,CA,JTW-WSO,,,925,189,27,1,48,68,14,44,66,18,15.6,37.5,2.2,35.3,10.6,20.6,27.6,9.5
JoshuaTreeWoodSpringsOasis,JTWS,JTWS7,POFR,33.741,-115.81,925,CA,JTW-WSO,,,925,189,27,1,48,68,14,44,66,18,15.6,37.5,2.2,35.3,10.6,20.6,27.6,9.5
JoshuaTreeWoodSpringsOasis,JTWS,JTWS8,POFR,33.741,-115.81,925,CA,JTW-WSO,,,925,189,27,1,48,68,14,44,66,18,15.6,37.5,2.2,35.3,10.6,20.6,27.6,9.5
JoshuaTreeWoodSpringsOasis,JTWS,JTWS9,POFR,33.741,-115.81,925,CA,JTW-WSO,,,925,189,27,1,48,68,14,44,66,18,15.6,37.5,2.2,35.3,10.6,20.6,27.6,9.5
KaibitoCreek,KAKA,KAKA101,TARA,36.61255,-111.07671,1722,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA102,TARA,36.61269,-111.07673,1727,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA103,TARA,36.61286,-111.07684,1723,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA104,TARA,36.61313,-111.07694,1728,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA105,TARA,36.61361,-111.07701,1726,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA106,TARA,36.61391,-111.07709,1729,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA107,TARA,36.61388,-111.07723,1730,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA108,TARA,36.61345,-111.07746,1733,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KaibitoCreek,KAKA,KAKA109,TARA,36.61328,-111.07732,1734,AZ,,,,1743,170,25,6,33,62,26,51,40,11.7,14.2,32.6,-6.2,38.8,22.3,15.9,23.1,0.7
KeamsCanyon,KC,KC329,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC361,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC362,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC363,,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC364,,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC365,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC366,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC368,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC369,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC371,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC372,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC373,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC374,,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC375,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC376,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC377,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC378,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC379,POFR,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KeamsCanyon,KC,KC380,,35.81152,-110.16958,1920,AZ,KKH-OPI,,,1958,279,41,7,39,105,34,84,65,10,16.7,31.1,-8.8,39.9,20.1,13.6,20.7,-0.3
KirklandAshCreek,KIRK,KIRK1,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK10,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK2,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK3,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK4,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK5,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK6,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK7,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK8,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRK9,POFR,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRKSG4,SAGO,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRKSG5,SAGO,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRKSG6,SAGO,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRKSG7,SAGO,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRKSG8,SAGO,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
KirklandAshCreek,KIRK,KIRKSG10,SAGO,34.45384,-112.7986,1555,AZ,AKO-KIK,,,1149,400,64,7,46,147,34,118,115,14.8,18.7,35.1,-2.8,37.9,24,17.4,24.3,6.2
LittleColoradoCameron,LCCA,LCCA178,SAEX,35.87539,-111.40429,1257,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA179,SAEX,35.87475,-111.40343,1256,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA180,SAEX,35.8743,-111.40299,1261,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA181,SAEX,35.87396,-111.40276,1259,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA182,TARA,35.87403,-111.40319,1253,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA183,SAEX,35.87419,-111.40335,1259,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA184,TARA,35.8744,-111.40376,1254,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA185,SAEX,35.87464,-111.40405,1252,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA186,TARA,35.87474,-111.40423,1253,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA187,TARA,35.8748,-111.40427,1250,AZ,,,,1292,159,27,5,40,63,22,50,34,14.3,17.2,36.4,-5.6,42,25,18.7,25.8,2.8
LittleColoradoCameron,LCCA,LCCA188,SAEX,35.87506,-111.4045,1263,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA189,SAEX,35.87515,-111.4045,1258,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA190,TARA,35.87513,-111.40469,1254,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA191,TARA,35.87526,-111.40511,1257,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA192,TARA,35.8754,-111.40527,1257,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA193,SAEX,35.87556,-111.40532,1256,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA194,TARA,35.87561,-111.40561,1255,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA195,SAEX,35.87571,-111.40562,1260,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LittleColoradoCameron,LCCA,LCCA196,TARA,35.87567,-111.40583,1259,AZ,,,,1287,158,27,4,41,63,21,49,34,14.3,17.2,36.4,-5.6,42,25,18.8,25.7,2.8
LowerColoradoRiverGrandFalls,LCR,LCR685,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR686,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR687,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR688,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR689,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR690,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR691,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR692,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR693,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR694,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR695,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR696,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR697,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR698,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR699,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR700,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR702,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR703,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LowerColoradoRiverGrandFalls,LCR,LCR704,SAEX,35.41576,-111.17612,1417,AZ,LLC-FAL,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LittleColoradoRiverSt.John,LCRS,LCRS301,TARA,34.6487,-109.70312,1642,AZ,,,,1647,268,51,9,57,127,30,103,48,12.1,18.4,33,-7.1,40.1,21.9,15.8,22.5,2.1
LittleColoradoRiverSt.John,LCRS,LCRS302,TARA,34.64889,-109.70303,1640,AZ,,,,1647,268,51,9,57,127,30,103,48,12.1,18.4,33,-7.1,40.1,21.9,15.8,22.5,2.1
LittleColoradoRiverSt.John,LCRS,LCRS303,TARA,34.64906,-109.70291,1642,AZ,,,,1647,268,51,9,57,127,30,103,48,12.1,18.4,33,-7.1,40.1,21.9,15.8,22.5,2.1
LittleColoradoRiverSt.John,LCRS,LCRS304,TARA,34.64906,-109.70262,1642,AZ,,,,1647,268,51,9,57,127,30,103,48,12.1,18.4,33,-7.1,40.1,21.9,15.8,22.5,2.1
LittleColoradoRiverSt.John,LCRS,LCRS305,TARA,34.64953,-109.70259,1642,AZ,,,,1647,268,51,9,57,127,30,103,48,12.1,18.4,33,-7.1,40.1,21.9,15.8,22.5,2.1
LittleColoradoRiverSt.John,LCRS,LCRS306,TARA,34.64974,-109.70251,1642,AZ,,,,1647,268,51,9,57,127,30,103,48,12.1,18.4,33,-7.1,40.1,21.9,15.8,22.5,2.1
LittleColoradoRiverSt.John,LCRS,LCRS307,TARA,34.65028,-109.70233,1644,AZ,,,,1655,269,51,9,57,127,30,103,48,12.1,18.4,33,-7,40,21.8,15.8,22.4,2.1
LittleColoradoRiverSt.John,LCRS,LCRS308,TARA,34.65028,-109.70222,1644,AZ,,,,1655,269,51,9,57,127,30,103,48,12.1,18.4,33,-7,40,21.8,15.8,22.4,2.1
LittleColoradoRiverSt.John,LCRS,LCRS309,TARA,34.65042,-109.70213,1639,AZ,,,,1655,269,51,9,57,127,30,103,48,12.1,18.4,33,-7,40,21.8,15.8,22.4,2.1
LowerColoradoRiver,LCR,LCRUNKNOWN,POFR,35.41576,-111.17612,1417,AZ,,,,1421,231,38,6,43,94,28,74,50,13.8,16.9,35.2,-5.3,40.5,24.1,17.9,24.8,2.9
LakeMaryFlagstaff,LM,LM460,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM461,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM462,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM463,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM464,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM465,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM467,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM468,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM469,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM470,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LakeMaryFlagstaff,LM,LM471,POFR,35.07,-111.527,2109,AZ,MFH-LAM,,,2127,547,74,12,39,193,61,156,152,8.2,16.3,27.7,-8.4,36.1,17.2,11,17.7,-0.6
LostPalmsOasis,LPO,LPO1,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO10,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO2,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO3,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO4,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO5,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO6,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO7,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO8,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
LostPalmsOasis,LPO,LPO9,SAEX,33.714,-115.761,1009,CA,JTL-LPO,,,981,196,28,1,48,71,14,46,69,17.8,15.3,37.1,2.1,35,10.3,20.3,27.3,9.2
MunsenCanyon,MCO,MCO1,POFR,33.76,-116.547,283,CA,JTM-MCO,,,205,147,28,1,66,72,9,16,72,21.5,17.1,40.8,4.9,35.9,13.4,23.8,30.2,13.4
MunsenCanyon,MCO,MCO2,POFR,33.76,-116.547,283,CA,JTM-MCO,,,205,147,28,1,66,72,9,16,72,21.5,17.1,40.8,4.9,35.9,13.4,23.8,30.2,13.4
HughesMiddleSchoolMesquite,MESQ,MESQ101,TARA,36.79557,-114.0771,474,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ102,TARA,36.79592,-114.07716,475,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ103,TARA,36.79565,-114.07737,473,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ104,TARA,36.79563,-114.07751,475,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ105,TARA,36.79567,-114.07774,476,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ106,TARA,36.79557,-114.0779,475,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ107,TARA,36.79457,-114.07734,473,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ108,TARA,36.79446,-114.07764,473,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
HughesMiddleSchoolMesquite,MESQ,MESQ109,TARA,36.79564,-114.07824,481,NV,,,Y,479,138,17,3,35,49,17,28,43,19.4,15.9,41.3,0.2,41.1,10.3,23.7,31.3,8
MittryLakeYuma,ML,ML516,,32.8498,-114.49281,49,AZ,MYN-MLY,,Y,69,81,14,0,57,32,4,20,27,23.1,15.9,41.6,5.8,35.8,29.4,26,32.6,13.8
MittryLakeYuma,ML,ML552,,32.8498,-114.49281,49,AZ,MYN-MLY,,Y,69,81,14,0,57,32,4,20,27,23.1,15.9,41.6,5.8,35.8,29.4,26,32.6,13.8
MittryLakeYuma,ML,ML554,,32.8498,-114.49281,49,AZ,MYN-MLY,,Y,69,81,14,0,57,32,4,20,27,23.1,15.9,41.6,5.8,35.8,29.4,26,32.6,13.8
MittryLakeYuma,ML,ML561,,32.8498,-114.49281,49,AZ,MYN-MLY,,Y,69,81,14,0,57,32,4,20,27,23.1,15.9,41.6,5.8,35.8,29.4,26,32.6,13.8
